ID,HousePrice,y_hat,delta
7857,919497.0,660072.2972680625,259424.70273193752
1641,283680.0,289177.79297644366,-5497.792976443656
3620,135818.0,166619.49465333694,-30801.494653336937
2820,468742.0,398384.2845104754,70357.71548952459
1572,311065.0,389518.4899596194,-78453.48995961942
202,228740.0,198964.59339845268,29775.40660154732
8169,260611.0,294784.6602290218,-34173.6602290218
6212,199843.0,210704.1289427577,-10861.1289427577
6754,273619.0,260715.37364563253,12903.626354367472
5197,334528.0,313213.81469183473,21314.185308165266
5170,371797.0,411610.510490348,-39813.51049034798
3987,129547.0,124654.76735315604,4892.232646843957
8088,241878.0,193002.01313984953,48875.98686015047
1181,544164.0,503632.3739617062,40531.62603829382
5703,233936.0,248737.98668513415,-14801.98668513415
7979,340244.0,310809.29178199434,29434.70821800566
2546,673459.0,670056.0497525125,3402.950247487519
5831,219892.0,261525.21342596368,-41633.21342596368
2288,136479.0,178225.2614709318,-41746.261470931786
7372,284417.0,262588.54457176215,21828.455428237852
8553,401696.0,313633.7453586321,88062.25464136788
605,400036.0,503496.1557138086,-103460.1557138086
7343,502384.0,454250.3455286311,48133.65447136888
6956,432570.0,460794.69437750557,-28224.69437750557
6787,271336.0,208790.6741079248,62545.3258920752
8790,259581.0,283810.4471893386,-24229.44718933862
8875,368614.0,391362.910185265,-22748.910185265006
5222,449834.0,442119.0895644127,7714.910435587284
6583,268084.0,249646.31523039407,18437.684769605927
4457,326357.0,410688.6879428132,-84331.68794281321
3798,513051.0,499357.119905585,13693.880094414984
8692,484256.0,663018.1510235489,-178762.1510235489
9185,391848.0,507812.9768419695,-115964.97684196947
9170,289229.0,303536.629590755,-14307.62959075498
6922,396836.0,580543.2495697736,-183707.24956977356
1816,299874.0,315679.89577785775,-15805.895777857746
889,453808.0,389502.65466081514,64305.34533918486
2315,197244.0,197667.92962042935,-423.9296204293496
3837,348815.0,331519.12295272434,17295.87704727566
8611,573658.0,590494.8504976971,-16836.85049769713
5917,269948.0,237208.23188195462,32739.76811804538
6719,133645.0,110666.40868751101,22978.591312488992
5994,367737.0,466287.5616692073,-98550.5616692073
9266,252230.0,233527.0890751867,18702.910924813303
4038,104509.0,110147.09100402705,-5638.091004027054
2556,559989.0,429561.0490637213,130427.95093627868
3330,300314.0,334262.3749358183,-33948.37493581831
9027,112586.0,108427.708390415,4158.291609584994
486,225432.0,228535.0752944614,-3103.0752944613923
5064,421310.0,469407.74288811133,-48097.74288811133
